model,feature_set,ticker,qlike,vol_rmse,vol_mae,calibration,n_obs,n_dates,year
EWMA,baseline,Pooled,0.3200835827624241,0.03139559070735654,0.026473755464694087,0.9547971244780136,753,251,2017
HV21,baseline,GLD,0.20748609754295738,0.030698346876941257,0.025577143163723007,0.9560644741431064,251,251,2017
HV21,baseline,SPY,0.6089872466282437,0.034689168505864516,0.028613184287819463,0.9873455530118157,251,251,2017
HV21,baseline,TLT,0.22815105229011204,0.030952654032058106,0.02609423734206302,1.0031115757264273,251,251,2017
HV21,baseline,Pooled,0.34820813215377105,0.032165165962748966,0.026761521597868498,0.9803272164575869,753,251,2017
LightGBM,full,GLD,0.2992909007490213,0.04639378378708422,0.04006401364929042,0.5500605060730055,251,251,2017
LightGBM,full,SPY,0.55445559649949,0.042231621263558054,0.03615924295860572,0.5405821105193819,251,251,2017
LightGBM,full,TLT,0.24631823839737632,0.034031104408441946,0.02852322472385889,0.8445553877603554,251,251,2017
LightGBM,full,Pooled,0.36668824521529586,0.04120683226476569,0.03491549377725168,0.6349236798105973,753,251,2017
LightGBM,no_cross,GLD,0.25800577679358633,0.041642814161544126,0.0357654883466196,0.6127814997079142,251,251,2017
LightGBM,no_cross,SPY,0.5461734165359319,0.04105680549879117,0.035344609679020526,0.5567494356284248,251,251,2017
LightGBM,no_cross,TLT,0.3049221477172531,0.033149674567745854,0.026777676911526917,1.018788367916902,251,251,2017
LightGBM,no_cross,Pooled,0.3697004470155905,0.038810162642474305,0.03262925831238901,0.7098298190082571,753,251,2017
LightGBM,risk_only,GLD,0.2565343884990395,0.04100716031463936,0.035203925699905374,0.6122086393041777,251,251,2017
LightGBM,risk_only,SPY,0.637079623884691,0.0465111965650927,0.0403077089007049,0.4852158298428029,251,251,2017
LightGBM,risk_only,TLT,0.2519485728234906,0.03367786400033035,0.02820117779875875,0.8783565721986928,251,251,2017
LightGBM,risk_only,Pooled,0.38185419506907364,0.04073932222726985,0.03457093746645634,0.6562483097997681,753,251,2017
Ridge,full,GLD,0.27222885066131625,0.04346950816763087,0.03769286520875185,0.5903939189222892,251,251,2017
Ridge,full,SPY,0.5209355246137459,0.03613583920832048,0.0302899396605989,0.7221870368480005,251,251,2017
Ridge,full,TLT,0.21884616962217374,0.0323474221773482,0.02680151996739223,0.8151856273985109,251,251,2017
Ridge,full,Pooled,0.3373368482990787,0.03760209540768048,0.031594774945580995,0.6903277710907966,753,251,2017
Ridge,no_cross,GLD,0.2458088919769997,0.0403171268209394,0.03461256270000828,0.6336172925651536,251,251,2017
Ridge,no_cross,SPY,0.5198254100461738,0.03595202904746784,0.030083500196283874,0.7323400147279918,251,251,2017
Ridge,no_cross,TLT,0.2149847475329157,0.03174324919341654,0.026380893756400226,0.845518942537052,251,251,2017
Ridge,no_cross,Pooled,0.3268730165186964,0.036173899324794125,0.030358985550897458,0.7244560306626491,753,251,2017
Ridge,risk_only,GLD,0.26727613969234204,0.0419654436570947,0.03595833194142216,0.6149373597813359,251,251,2017
Ridge,risk_only,SPY,0.5790087966379716,0.04110546637884897,0.03481411095919446,0.6312585118020909,251,251,2017
Ridge,risk_only,TLT,0.23060494578226837,0.03393007900764542,0.02788689500154223,0.7849748023322815,251,251,2017
Ridge,risk_only,Pooled,0.35896329403752736,0.0391663464768098,0.03288644596738628,0.676008572036847,753,251,2017
EWMA,baseline,GLD,0.39834226416325313,0.04035837444425307,0.03227822686883537,1.0099983057304702,251,251,2018
EWMA,baseline,SPY,1.0811179593945508,0.0847972244386603,0.05761660612328965,1.2491080186225716,251,251,2018
EWMA,baseline,TLT,0.2767504226497029,0.032594610743111,0.025776206403133755,0.9957481062306458,251,251,2018
EWMA,baseline,Pooled,0.5854035487358356,0.05739272982349476,0.03855701313175292,1.144575437974032,753,251,2018
HV21,baseline,GLD,0.43299706911060004,0.04141486700084478,0.03321519706519737,1.0167915797238711,251,251,2018
HV21,baseline,SPY,1.1504249414967214,0.08851629245088748,0.06129143665261514,1.2083061900026029,251,251,2018
HV21,baseline,TLT,0.2998672939279806,0.0338253874692461,0.026541307675509034,1.0018952524028601,251,251,2018
HV21,baseline,Pooled,0.6277631015117673,0.0597061752121541,0.04034931379777384,1.1257860052254383,753,251,2018
LightGBM,full,GLD,0.5127921146242561,0.05853713871642128,0.051645644134644994,0.5265381500536161,251,251,2018
LightGBM,full,SPY,1.0175927020638005,0.08642803352742706,0.05945985994286844,1.1774544808537446,251,251,2018
LightGBM,full,TLT,0.26947520578242856,0.03559037869215316,0.02931564011430692,0.7963145317661084,251,251,2018
LightGBM,full,Pooled,0.5999533408234949,0.06367384770315694,0.046807048063940114,0.8883486446380381,753,251,2018
LightGBM,no_cross,GLD,0.3922436109649125,0.04556933944645855,0.03879666449724299,0.6908846327285918,251,251,2018
LightGBM,no_cross,SPY,0.8959061319443807,0.08643622403075396,0.06197620498808609,1.0305002315107332,251,251,2018
LightGBM,no_cross,TLT,0.2754832469724173,0.03332298170970214,0.026862207914634045,0.9238148353040814,251,251,2018
LightGBM,no_cross,Pooled,0.5212109966272368,0.05960482819455259,0.042545025799987715,0.9233268958185286,753,251,2018
LightGBM,risk_only,GLD,0.3954762268320451,0.04536425150341149,0.03756106819785969,0.7133948668898273,251,251,2018
LightGBM,risk_only,SPY,1.235296109622487,0.09246413662203032,0.0654232771061966,1.0728356640380008,251,251,2018
LightGBM,risk_only,TLT,0.27091715334114136,0.03439751635129372,0.028107283622341776,0.8776431875414649,251,251,2018
LightGBM,risk_only,Pooled,0.6338964965985578,0.06269162891184057,0.043697209642132695,0.9431439034016529,753,251,2018
Ridge,full,GLD,0.40629709860586694,0.04626539074797908,0.039187074198411685,0.7049537068143973,251,251,2018
Ridge,full,SPY,0.8869101836492973,0.08403487911463554,0.056483690238754415,1.175382404376691,251,251,2018
Ridge,full,TLT,0.27310292929010255,0.03549346381427537,0.02940381424524843,0.8010404402466628,251,251,2018
Ridge,full,Pooled,0.5221034038484222,0.05905402403000683,0.041691526227471506,0.9690621492282783,753,251,2018
Ridge,no_cross,GLD,0.3518891179164033,0.04012070755057147,0.03333801566973483,0.829709953791001,251,251,2018
Ridge,no_cross,SPY,0.8349514883676729,0.08713831792278698,0.06105337567604721,0.9763497234099668,251,251,2018
Ridge,no_cross,TLT,0.2589401333817669,0.03302874948720669,0.026385100837395023,0.8944042937876358,251,251,2018
Ridge,no_cross,Pooled,0.48192691322194775,0.05857660487902383,0.04025883072772568,0.929273317880847,753,251,2018
Ridge,risk_only,GLD,0.3923542265038095,0.04437401269580177,0.03750456735071355,0.7608371280466177,251,251,2018
Ridge,risk_only,SPY,0.8390490600356085,0.0839549616015747,0.059424517221723136,1.1287638525681063,251,251,2018
Ridge,risk_only,TLT,0.25800900434307694,0.033471371664470555,0.027361698880607813,0.8651833539795383,251,251,2018
Ridge,risk_only,Pooled,0.49647076362749837,0.05813152128679179,0.04143026115101483,0.9830481709007418,753,251,2018
EWMA,baseline,GLD,0.33215948922702865,0.04375959119181249,0.035334806264589805,1.0013945979420986,252,252,2019
EWMA,baseline,SPY,0.5880816193143188,0.0716228458802286,0.05753595940906094,0.7118968770311321,252,252,2019
EWMA,baseline,TLT,0.290937166775763,0.04374595068375358,0.034353398872161885,1.032639913143863,252,252,2019
EWMA,baseline,Pooled,0.4037260917723702,0.05464565269224056,0.042408054848604215,0.8874928200543588,756,252,2019
HV21,baseline,GLD,0.3200723986759155,0.0423360710097761,0.033942736906685,0.9973976453037694,252,252,2019
HV21,baseline,SPY,0.7583582405455757,0.0769496069272702,0.05927801983655379,0.7393311409864938,252,252,2019
HV21,baseline,TLT,0.2887368093298031,0.043424337932531,0.03413182710320802,1.0110830196068152,252,252,2019
HV21,baseline,Pooled,0.45572248285043143,0.056566356431141544,0.04245086128214893,0.8950528656351813,756,252,2019
LightGBM,full,GLD,0.3084409598221039,0.0464112726845101,0.03777375185759173,0.868440540490244,252,252,2019
LightGBM,full,SPY,0.39685134944216266,0.056029634810609005,0.0423777942908375,0.8346981409675391,252,252,2019
LightGBM,full,TLT,0.2852459727465765,0.04251785628958615,0.03272207979558399,1.070641420264898,252,252,2019
LightGBM,full,Pooled,0.33017942733694766,0.04865214730673272,0.03762454198133774,0.9139160902333285,756,252,2019
LightGBM,no_cross,GLD,0.3227911479966023,0.04871195699012492,0.03928962655674535,0.8391893130018738,252,252,2019
LightGBM,no_cross,SPY,0.4444624791121333,0.05753679235796544,0.044223019338858874,0.8274420044850888,252,252,2019
LightGBM,no_cross,TLT,0.2695802248329996,0.04223373700823159,0.03341468288696927,0.9796061405221569,252,252,2019
LightGBM,no_cross,Pooled,0.34561128398057833,0.04988996482370604,0.03897577626085784,0.8772450458842268,756,252,2019
LightGBM,risk_only,GLD,0.3555128734207341,0.049820629730793264,0.041580158873553784,0.8025135012377175,252,252,2019
LightGBM,risk_only,SPY,0.4916975756479311,0.06502232083592913,0.05332354807372013,0.7279403868959099,252,252,2019
LightGBM,risk_only,TLT,0.2793412437523002,0.043208679209412314,0.03385026125392641,1.0521633270776565,252,252,2019
LightGBM,risk_only,Pooled,0.37551723094032174,0.05346957799436113,0.04291798940040011,0.8402567773815106,756,252,2019
Ridge,full,GLD,0.3173372777608778,0.047072630476580765,0.03892435440406527,0.8000637013545031,252,252,2019
